Data	Codice articolo	Prezzo	Qta	Ref operazione
17/07/15	3667	3,95	1	0011/0109/3846/3
17/07/15	3672	3,95	1	0011/0109/3840/3
17/07/15	3672	3,95	1	0008/0017/4244/3
17/07/15	3675	3,95	1	0007/0104/964/37
17/07/15	3697	3,95	1	0011/0109/3836/4
17/07/15	9429	4,95	1	0011/0109/3779/2
17/07/15	9429	4,95	1	0011/0109/3779/1
17/07/15	9429	4,95	1	0011/0109/3839/1
17/07/15	9429	4,95	1	0011/0109/3839/2
17/07/15	10956	4,95	1	0008/0017/4191/4
17/07/15	10956	4,95	1	0008/0017/4243/7/MD 3               0
17/07/15	10956	4,95	1	0008/0017/4256/8
17/07/15	11268	4,95	1	0006/0087/6356/1
17/07/15	11294	5,95	1	0006/0087/6355/23
17/07/15	16030	4,73	1	0006/0087/6355/7/PR186322_1         0
17/07/15	16030	4,72	1	0006/0087/6355/15/PR186322_1         0
17/07/15	22881	2,95	1	0010/0087/9830/2
17/07/15	23191	2,95	1	0007/0104/865/1
17/07/15	23195	2,95	1	0007/0104/889/1
17/07/15	25856	9,95	1	0008/0017/4189/2
17/07/15	26527	2,45	1	0007/0104/927/4
17/07/15	27394	111,00	1	0002/0027/1339/1/MD 3               0
17/07/15	27698	13,45	1	0007/0104/993/2
17/07/15	29235	9,95	1	0007/0104/922/1
17/07/15	29238	9,95	1	0007/0104/988/3
17/07/15	29441	16,95	1	0007/0104/964/29
17/07/15	35839	5,95	1	0007/0104/896/1
17/07/15	39064	6,95	1	0007/0104/910/1
17/07/15	41978	1,95	1	0011/0109/3813/2
17/07/15	45740	2,95	1	0011/0109/3854/2
17/07/15	45984	12,50	1	0007/0104/856/1
17/07/15	46022	25,45	1	0007/0104/958/1
17/07/15	49856	1,95	1	0007/0104/981/4
17/07/15	53878	39,95	1	0007/0104/914/4
17/07/15	57790	9,23	1	0011/0109/3791/1/PR227652_1         0
17/07/15	57790	10,95	1	0011/0109/3802/2
17/07/15	57790	9,22	1	0007/0104/939/5/PR227652_1         0
17/07/15	57790	9,22	1	0011/0109/3832/4/PR227652_1         0
17/07/15	57790	10,95	1	0008/0017/4263/7
17/07/15	57794	9,22	1	0007/0104/939/3/PR227652_1         0
17/07/15	58108	7,95	1	0011/0109/3837/2
17/07/15	59098	3,45	1	0008/0017/4236/1
17/07/15	59897	29,95	1	0008/0017/4222/4
17/07/15	60636	5,95	1	0007/0104/848/1
17/07/15	62653	9,95	1	0010/0087/9847/3
17/07/15	63147	9,95	1	0008/0017/4226/4
17/07/15	65977	0,00	1	0001/0027/6738/2
17/07/15	65977	0,00	1	0001/0027/6739/2
17/07/15	65977	0,00	1	0001/0027/6740/2
17/07/15	65977	0,00	1	0001/0027/6741/3
17/07/15	65977	0,00	1	0001/0027/6743/2
17/07/15	65977	0,00	1	0001/0027/6746/2
17/07/15	65977	0,00	1	0001/0027/6747/2
17/07/15	65977	0,00	1	0001/0027/6748/2
17/07/15	65977	0,00	1	0001/0027/6749/2
17/07/15	65977	0,00	1	0001/0027/6750/3
17/07/15	65977	0,00	1	0001/0027/6751/2
17/07/15	65977	0,00	1	0001/0027/6752/2
17/07/15	65977	0,00	1	0001/0027/6754/2
17/07/15	65977	0,00	-1	0001/0027/6756/5
17/07/15	65977	0,00	-1	0001/0027/6756/3
17/07/15	65977	0,00	1	0001/0027/6756/6
17/07/15	65977	0,00	1	0001/0027/6756/4
17/07/15	65977	0,00	1	0001/0027/6756/2
17/07/15	65977	0,00	1	0001/0027/6759/3
17/07/15	65977	0,00	1	0001/0027/6761/3
17/07/15	65977	0,00	1	0001/0027/6762/2
17/07/15	65977	0,00	1	0001/0027/6763/4
17/07/15	65977	0,00	1	0001/0027/6764/2
17/07/15	65977	0,00	1	0001/0027/6765/2
17/07/15	65977	0,00	1	0001/0027/6768/2
17/07/15	65977	0,00	1	0001/0027/6769/2
17/07/15	67348	1,95	1	0008/0017/4230/6
17/07/15	67369	2,95	1	0008/0017/4230/7
17/07/15	68300	1,55	1	0007/0104/889/9
17/07/15	68300	1,55	1	0007/0104/900/1
17/07/15	68300	1,55	1	0007/0104/989/2
17/07/15	68301	1,55	1	0007/0104/916/5
17/07/15	68301	1,55	1	0010/0087/9856/13
17/07/15	68303	1,55	1	0007/0104/900/2
17/07/15	68303	1,55	1	0010/0087/9856/12
17/07/15	68313	1,55	1	0007/0104/889/10
17/07/15	68588	3,45	1	0008/0017/4253/4
17/07/15	69666	5,95	1	0011/0109/3840/14
17/07/15	72092	5,95	1	0008/0017/4236/2
17/07/15	72175	3,95	1	0011/0109/3785/12
17/07/15	73729	0,15	1	0007/0104/846/7
17/07/15	73729	0,15	1	0007/0104/858/1
17/07/15	73729	0,15	1	0007/0104/869/1
17/07/15	73729	0,15	1	0006/0017/6347/2
17/07/15	73729	0,15	1	0006/0017/6349/2
17/07/15	73729	0,15	1	0006/0017/6350/6
17/07/15	73729	0,15	1	0007/0104/876/5
17/07/15	73729	0,15	1	0007/0104/889/15
17/07/15	73729	0,15	1	0007/0104/889/14
17/07/15	73729	0,15	1	0008/0017/4170/7
17/07/15	73729	0,15	1	0008/0017/4173/4
17/07/15	73729	0,15	1	0007/0104/900/10
17/07/15	73729	0,15	1	0008/0017/4177/1
